Group,n_shipped,n_parent,bgg_matches,n_eligible_sat,max_dmag_shipped,n_dmag_gt3,expected_objids,shipped_objids,quartet_set_changed,not_3_nearest_eligible,n_ineligible_closer,dist2bgg_recompute_max_err
1600,4,11,True,6,3.603853000000001,1,1237661381704024169;1237661381704089681;1237661381703958722,1237661381704024169;1237661381704089681;1237661381704089747,True,True,1,0.6584166790623005
1616,4,11,True,6,3.124914999999998,1,1237654383585394820;1237654383585329365;1237654391644618891,1237654383585329365;1237654383585394820;1237654383585394824,True,True,3,0.11916394006972642
1619,4,11,True,4,3.639794000000002,2,1237659326026547606;1237659330312536341;1237659330849276115,1237659326026547606;1237659326026547571;1237659326026612899,True,True,4,0.14189735242778578
1659,4,11,True,3,3.9337579999999974,2,1237668624622157845;1237668624622092360;1237668624621961294,1237668624622157845;1237668590796013675;1237668590795882794,True,True,6,0.8929210300426433
1664,4,11,True,7,2.532990999999999,0,1237655370904764505;1237655465385459816;1237655465385394461,1237655465385394461;1237655370904764505;1237655465385459816,False,False,0,0.13508790089138145
1670,4,11,True,3,4.49316,3,1237662698640441555;1237662698640506996;1237664854183313713,1237662223543828729;1237662223543828767;1237662223543828777,True,True,6,0.36195879886144855
1678,4,11,True,4,3.0008359999999996,1,1237668336324706372;1237665566082400802;1237668336861511907,1237665566082400802;1237668336324706372;1237668367999566124,True,True,1,0.5664617601726842
1698,4,11,True,4,3.6827770000000015,2,1237663786885906495;1237663916270158057;1237663786885906868,1237663786885906495;1237663786885906815;1237663786885906819,True,True,5,0.16731521493973478
1701,4,11,True,7,3.4947519999999983,2,1237661949719478403;1237661949719478306;1237661949719478394,1237661949719478403;1237661949719478450;1237661949719478408,True,True,2,0.06010991965858592
1714,4,11,True,4,3.9030179999999994,1,1237661070324858895;1237661070324858902;1237661070324858899,1237661070324858895;1237661070324858902;1237661070324859093,True,True,1,0.09296991156497691
