check,comparison,colour,n,coefficient,ci_low,ci_high,p_value
leave one CG4 group out,CG4_214,g_minus_r,2373,-0.0007379359287140869,-0.029436954779678958,0.027961082922250784,0.9598064882015688
leave one CG4 group out,CG4_229,g_minus_r,2374,-0.004271964557714607,-0.03297692818351321,0.024432999068083997,0.7705250985733052
leave one CG4 group out,CG4_231,g_minus_r,2373,-0.0037912231207875534,-0.032868744069186384,0.025286297827611274,0.7983009787439523
leave one CG4 group out,CG4_239,g_minus_r,2372,0.0007373703539213135,-0.02769270643039963,0.029167447138242257,0.9594576628873073
leave one CG4 group out,CG4_259,g_minus_r,2373,-0.0022817598284709632,-0.03134569723433228,0.02678217757739036,0.8777095520692194
leave one CG4 group out,CG4_265,g_minus_r,2374,-0.0021525455653211706,-0.031006370207924936,0.026701279077282595,0.8837503017167025
leave one CG4 group out,CG4_271,g_minus_r,2374,-0.0012088757089272172,-0.029860190543043945,0.02744243912518951,0.9340931622828726
leave one CG4 group out,CG4_293,g_minus_r,2372,-0.006737040094484142,-0.034941135270148437,0.02146705508118015,0.6396618904319229
leave one CG4 group out,CG4_303,g_minus_r,2373,-0.003408346191913488,-0.0324202136244691,0.02560352124064212,0.8178907268132704
leave one CG4 group out,CG4_309,g_minus_r,2372,-0.0022958786082840493,-0.0314498021156626,0.026858044899094505,0.8773356334769034
leave one CG4 group out,CG4_315,g_minus_r,2373,-0.004745076655990183,-0.033511747093878386,0.024021593781898016,0.7464702968906682
leave one CG4 group out,CG4_316,g_minus_r,2373,-0.002125738390191985,-0.031190600106239915,0.026939123325855945,0.8860158680149425
leave one CG4 group out,CG4_322,g_minus_r,2373,-0.00538198661761935,-0.034036445447772457,0.023272472212533757,0.7127780196327438
leave one CG4 group out,CG4_323,g_minus_r,2374,-0.003917284505955999,-0.032639439367692376,0.024804870355780377,0.7892300233444635
leave one CG4 group out,CG4_330,g_minus_r,2373,-0.002477320454006865,-0.03156042861332881,0.026605787705315083,0.8674084720642994
leave one CG4 group out,CG4_333,g_minus_r,2374,-0.003391342559821438,-0.03219883058538179,0.025416145465738914,0.8175203162046739
leave one CG4 group out,CG4_337,g_minus_r,2373,-0.0007153852716086928,-0.029457803504177094,0.028027032960959708,0.9610925633879389
leave one CG4 group out,CG4_341,g_minus_r,2374,-0.003848849926644214,-0.03258741644541779,0.02488971659212936,0.7929431330526167
leave one CG4 group out,CG4_354,g_minus_r,2373,-0.005196048071034819,-0.03397331629170932,0.023581220149639683,0.7234192477260144
leave one CG4 group out,CG4_360,g_minus_r,2373,-0.004952897334352783,-0.03381571564771505,0.023909920979009486,0.7366202345252018
leave one CG4 group out,CG4_368,g_minus_r,2373,-0.0014475276818423713,-0.03034932398026132,0.02745426861657658,0.9218024475818167
leave one CG4 group out,CG4_369,g_minus_r,2373,-0.003685168116177154,-0.032703948009898634,0.025333611777544323,0.8034375363416689
