sample,outcome,group_quantity,n_groups,spearman_rho,ci95_low,ci95_high,p_value,p_holm,p_holm_significant
RG4,satellite_blue_fraction,M_virial_over_L,50,-0.006267159191402045,-0.288539904550075,0.26351504463117426,0.9655460629011263,1.0,False
RG4,satellite_blue_fraction,Offset_Bary,50,0.23956216009134318,-0.047235814948476,0.5159851209019862,0.09381404110557091,0.5628842466334255,False
RG4,satellite_blue_fraction,Voffset,50,-0.0014623371446604774,-0.30705108930471064,0.25528856852182136,0.9919584589207013,1.0,False
RG4,colour_scatter,t_cr,34,0.16149732620320856,-0.20917634408117322,0.45663828340418233,0.3615214023812917,1.0,False
RG4,colour_scatter,Vdisp,34,-0.07410236822001527,-0.39003695002041383,0.2784193548992857,0.6770449801519691,1.0,False
RG4,colour_scatter,Lum_group,34,-0.16333078686019864,-0.5261369178739869,0.2004247423125869,0.356022863255665,1.0,False
RG4,colour_scatter,M_virial,34,-0.07318563789152024,-0.43210014997464785,0.30250418879957697,0.6808288586920515,1.0,False
RG4,colour_scatter,M_virial_over_L,34,-0.06524064171122994,-0.41490696928495413,0.2959082656958225,0.7139346935223427,1.0,False
RG4,colour_scatter,Offset_Bary,34,0.10588235294117647,-0.2661081917713878,0.44309200473075405,0.5511879453066593,1.0,False
RG4,colour_scatter,Voffset,34,-0.12238349885408707,-0.41013385162487553,0.2164176194196081,0.4904967202424094,1.0,False
