sample,objid,specobjid,sfr,lgm,sSFR_status,specObjID,bestObjID,instrument,survey,programname,plate,mjd,fiberID,class,zWarning,snMedian_r,snMedian,run2d,sciencePrimary,extra_specObjID,sfr_tot_p50,lgm_tot_p50,specsfr_tot_p50,info_specObjID,info_sn_median,reliable,missing_type
CG4,1237648721759961111,310869352595351552,-1.057247,11.34712,Quenched,3.1086935259535155e+17,1.237648721759961e+18,SDSS,sdss,legacy,276.0,51909.0,440.0,GALAXY,0.0,58.10788,48.99507,26,1.0,3.1086935259535155e+17,-1.057247,11.34712,-12.46593,3.1086935259535155e+17,49.02336,1.0,valid
CG4,1237648721759961363,309787158292490240,-0.55961,10.81194,Quenched,3.0978715829249024e+17,1.2376487217599613e+18,SDSS,sdss,legacy,275.0,51910.0,599.0,GALAXY,0.0,43.40641,34.29345,26,1.0,3.0978715829249024e+17,-0.55961,10.81194,-11.41725,3.0978715829249024e+17,34.29345,1.0,valid
CG4,1237648721759961197,310868253083723776,-1.606087,10.52482,Quenched,3.108682530837238e+17,1.237648721759961e+18,SDSS,sdss,legacy,276.0,51909.0,436.0,GALAXY,0.0,56.85419,47.38388,26,1.0,3.108682530837238e+17,-1.606087,10.52482,-12.20447,3.108682530837238e+17,47.36262,1.0,valid
CG4,1237648721759961421,309796229263419392,-1.404288,10.23428,Quenched,3.097962292634194e+17,1.2376487217599613e+18,SDSS,sdss,legacy,275.0,51910.0,632.0,GALAXY,0.0,35.99907,27.75809,26,1.0,3.097962292634194e+17,-1.404288,10.23428,-11.6604,3.097962292634194e+17,27.76774,1.0,valid
CG4,1237654602106732592,653148704412297216,-1.235343,11.07583,Quenched,6.531487044122972e+17,1.2376546021067325e+18,SDSS,sdss,legacy,580.0,52368.0,461.0,GALAXY,0.0,47.62755,41.22271,26,1.0,6.531487044122972e+17,-1.235343,11.07583,-12.36954,6.531487044122972e+17,41.19466,1.0,valid
CG4,1237654602106732681,653150078801831936,-1.445339,10.26464,Quenched,6.53150078801832e+17,1.2376546021067328e+18,SDSS,sdss,legacy,580.0,52368.0,466.0,GALAXY,0.0,36.60076,29.04025,26,1.0,6.53150078801832e+17,-1.445339,10.26464,-11.77394,6.53150078801832e+17,29.04249,1.0,valid
CG4,1237654602106732699,653151178313459712,-1.658392,10.22885,Quenched,6.531511783134597e+17,1.2376546021067328e+18,SDSS,sdss,legacy,580.0,52368.0,470.0,GALAXY,0.0,31.97706,24.73996,26,1.0,6.531511783134597e+17,-1.658392,10.22885,-11.96484,6.531511783134597e+17,24.76944,1.0,valid
CG4,1237654602106732720,653154476848343040,-0.2837529,9.889784,Starforming,6.53154476848343e+17,1.2376546021067328e+18,SDSS,sdss,legacy,580.0,52368.0,482.0,GALAXY,0.0,16.24365,12.20884,26,1.0,6.53154476848343e+17,-0.2837529,9.889784,-10.22693,6.53154476848343e+17,12.35721,1.0,valid
CG4,1237654604791545887,653029682278590464,-1.518429,10.94604,Quenched,6.530296822785905e+17,1.2376546047915459e+18,SDSS,sdss,legacy,580.0,52368.0,28.0,GALAXY,0.0,45.57629,38.07882,26,1.0,6.530296822785905e+17,-1.518429,10.94604,-12.51173,6.530296822785905e+17,38.10194,1.0,valid
CG4,1237654604791545959,654219903414331392,0.6422124,10.47624,Starforming,6.542199034143314e+17,1.2376546047915459e+18,SDSS,sdss,legacy,581.0,52356.0,262.0,GALAXY,0.0,63.23569,54.13175,26,1.0,6.542199034143314e+17,0.6422124,10.47624,-9.87847,6.542199034143314e+17,54.21762,1.0,valid
