plate,mjd,fiberid,z_log_abs_p2p5,z_log_abs_p16,z_log_abs_median,z_log_abs_p84,z_log_abs_p97p5,z_log_abs_mode,dr4_index,age_logyr_rband_p2p5,age_logyr_rband_p16,age_logyr_rband_median,age_logyr_rband_p84,age_logyr_rband_p97p5,age_logyr_rband_mode
326,52375,556,-1.6813,-1.6475,-1.6304,-1.575,-1.5518,-1.6326,24268,9.8525,9.892,9.9687,10.0087,10.0402,9.9781
342,51691,112,-1.8849,-1.7809,-1.6973,-1.5891,-1.3433,-1.7077,31573,9.432,9.583,9.747,9.8351,9.9522,9.7867
342,51691,541,-1.7252,-1.6414,-1.5613,-1.4787,-1.3866,-1.6263,31853,9.702,9.8088,9.8975,9.9751,10.0196,9.9303
342,51691,550,-2.223,-2.0552,-1.9324,-1.7939,-1.6582,-1.9957,31859,9.666,9.7922,9.8909,9.9824,10.0498,9.9142
342,51691,551,-1.9651,-1.8783,-1.7776,-1.6535,-1.4081,-1.8204,31860,9.351,9.5799,9.7409,9.8461,9.9171,9.7866
342,51691,600,-1.6417,-1.5816,-1.5044,-1.4334,-1.3621,-1.5825,31889,9.6219,9.7689,9.8621,9.9655,10.0011,9.8183
363,51989,510,-1.648,-1.5629,-1.4692,-1.4,-1.343,-1.4385,38742,9.7332,9.8321,9.9287,9.9937,10.0364,9.9466
363,51989,535,-1.6418,-1.6222,-1.5812,-1.5465,-1.3353,-1.6013,38763,9.6984,9.8698,9.9293,9.9873,10.0071,9.9304
432,51884,563,-2.4197,-2.2819,-2.0495,-1.862,-1.6373,-2.0082,68961,9.5336,9.7175,9.8559,9.9707,10.042,9.8664
432,51884,576,-3.2189,-2.9502,-2.5685,-2.1492,-1.675,-2.6717,68966,9.2507,9.4074,9.5796,9.7393,9.8875,9.6424
432,51884,578,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,68968,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
432,51884,601,-1.65,-1.5852,-1.5532,-1.5109,-1.4472,-1.57,68981,9.7467,9.8861,9.9552,9.9916,10.0244,9.9788
433,51873,603,-1.7985,-1.7218,-1.6278,-1.4849,-1.3218,-1.6013,69373,9.4577,9.6238,9.8384,9.9335,9.9773,9.8504
434,51885,122,-1.7034,-1.6601,-1.6134,-1.5771,-1.5251,-1.6326,69454,9.7141,9.8314,9.9237,9.9703,9.9961,9.9789
434,51885,127,-1.5128,-1.4884,-1.4848,-1.4362,-1.3824,-1.4823,69457,9.8972,9.9291,9.9845,9.9938,10.0394,9.9946
434,51885,130,-2.7811,-2.6148,-2.4286,-2.2547,-2.0675,-2.4151,69458,9.5278,9.6283,9.7462,9.8625,9.9516,9.7064
434,51885,322,-1.8952,-1.81,-1.7258,-1.634,-1.5016,-1.764,69560,9.6068,9.8076,9.9126,9.9879,10.0333,9.9302
434,51885,326,-1.5393,-1.4611,-1.4128,-1.3664,-1.3116,-1.4135,69561,9.6537,9.7435,9.8198,9.879,10.006,9.8345
434,51885,334,-1.5636,-1.5436,-1.4742,-1.4207,-1.3785,-1.4448,69566,9.5747,9.7073,9.8033,9.909,9.9755,9.9783
434,51885,336,-1.8484,-1.7572,-1.6226,-1.5114,-1.3758,-1.5637,69568,9.3715,9.4871,9.6134,9.767,9.8509,9.659
434,51885,361,-1.9088,-1.798,-1.7105,-1.5486,-1.3823,-1.7766,69582,9.164,9.3499,9.5076,9.6467,9.7117,9.4508
434,51885,374,-1.7333,-1.6639,-1.5891,-1.4913,-1.3601,-1.6138,69591,9.6045,9.7352,9.8477,9.9472,10.0017,9.8505
434,51885,387,-2.084,-1.9347,-1.7747,-1.5994,-1.3914,-1.7327,69601,9.1338,9.3609,9.4948,9.6536,9.7551,9.45
434,51885,404,-1.5144,-1.5051,-1.4665,-1.3108,-1.3077,-1.5011,69612,9.6441,9.6525,9.9126,10.0195,10.0256,10.0262
435,51882,99,-1.8094,-1.7047,-1.569,-1.43,-1.3372,-1.4949,69791,9.1103,9.2863,9.4717,9.631,9.7726,9.4509
437,51876,53,-1.6059,-1.5707,-1.5236,-1.4934,-1.4671,-1.5512,537676,9.7983,9.895,9.9551,10.0203,10.0417,10.0265
437,51876,83,-1.5317,-1.519,-1.5163,-1.4807,-1.4242,-1.5136,537691,9.8184,9.9735,10.0015,10.0083,10.0221,10.0102
437,51876,91,-1.9742,-1.9177,-1.8426,-1.7609,-1.6539,-1.8329,537698,9.8784,9.9631,10.0206,10.0568,10.0918,10.043
437,51876,98,-1.743,-1.6949,-1.6892,-1.6811,-1.6771,-1.6889,537701,9.6278,9.6381,9.7217,9.7531,9.7789,9.755
439,51877,601,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,71751,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
439,51877,603,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,71752,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
441,51868,262,-1.7201,-1.656,-1.6134,-1.5738,-1.5169,-1.5762,72456,9.7321,9.8707,9.9251,9.9842,10.044,9.9626
441,51868,267,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,72460,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
441,51868,269,-1.9955,-1.8992,-1.7779,-1.6795,-1.6016,-1.7953,72462,9.6939,9.8289,9.9303,10.005,10.0556,9.9301
441,51868,270,-1.6871,-1.6513,-1.624,-1.5685,-1.564,-1.5637,72463,9.8972,9.9356,9.99,10.0395,10.0568,10.027
444,51883,142,-1.689,-1.581,-1.4963,-1.3786,-1.3116,-1.4949,73859,9.4888,9.616,9.7406,9.8486,9.9353,9.7225
444,51883,502,-1.6473,-1.5624,-1.5118,-1.4614,-1.3783,-1.4949,74128,9.6448,9.7298,9.823,9.9467,9.9919,9.7547
444,51883,506,-1.6355,-1.5796,-1.5315,-1.498,-1.4457,-1.5387,74132,9.7579,9.847,9.9149,9.9777,10.0345,9.8828
444,51883,553,-1.5747,-1.4851,-1.3934,-1.3327,-1.3038,-1.3384,74164,9.546,9.6121,9.7293,9.8432,9.9126,9.6906
444,51883,603,-1.861,-1.7367,-1.6336,-1.486,-1.3613,-1.6576,74202,9.501,9.6464,9.7754,9.8886,9.9693,9.8668
444,51883,609,-2.9991,-2.6551,-2.1954,-1.7021,-1.3819,-1.8517,74206,8.9337,9.088,9.2551,9.4491,9.6166,9.3061
444,51883,624,-1.7623,-1.681,-1.6279,-1.5943,-1.539,-1.6075,74220,9.667,9.8209,9.8865,9.9363,10.0176,9.8826
444,51883,635,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,74226,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
444,51883,638,-1.636,-1.5654,-1.5011,-1.4274,-1.3359,-1.5324,74229,9.645,9.7169,9.8388,9.9302,9.9839,9.8823
444,51883,640,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,74231,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
446,51899,213,-1.7565,-1.3444,-1.3419,-1.3394,-1.3384,-1.3384,74923,9.3228,9.3251,9.3321,9.3382,9.5293,9.3389
446,51899,221,-1.9901,-1.8095,-1.617,-1.4258,-1.3237,-1.7202,74930,9.2207,9.4122,9.5656,9.7151,9.8085,9.6102
446,51899,284,-1.7796,-1.6681,-1.5462,-1.4119,-1.3141,-1.5575,74977,9.2382,9.4208,9.5583,9.7204,9.8506,9.514
446,51899,290,-3.0487,-2.6319,-2.0715,-1.5258,-1.3392,-1.451,74981,8.8124,8.974,9.1618,9.3653,9.5464,9.1462
446,51899,298,-1.6121,-1.5865,-1.5702,-1.56,-1.5218,-1.5637,74987,9.8415,9.9022,9.9541,9.9988,10.009,9.9628
446,51899,312,-3.1042,-2.9156,-2.6571,-2.3838,-2.0078,-2.6592,75000,8.8903,9.0242,9.1757,9.3528,9.4925,9.1308
446,51899,342,-1.5882,-1.5624,-1.5177,-1.4858,-1.4803,-1.5575,75022,9.8929,9.9226,9.9704,10.0213,10.0352,10.0267
446,51899,351,-2.257,-2.1786,-2.0513,-1.9433,-1.8389,-2.027,75030,9.7806,9.8733,9.9705,10.0362,10.0721,10.0426
446,51899,354,-1.7514,-1.7503,-1.7475,-1.7355,-1.6776,-1.7453,75033,9.6303,9.6979,9.7444,9.7511,9.7542,9.7544
